year,field_i,field_j,count_i,count_j,coocc,weight_cosine
2018,Agricultural and Biological Sciences,Chemistry,869,559,9,0.012912987103064981
2018,Arts and Humanities,Earth and Planetary Sciences,100,605,10,0.04065578140908692
2018,Agricultural and Biological Sciences,Computer Science,869,1946,7,0.0053829052301745135
2018,"Biochemistry, Genetics and Molecular Biology",Dentistry,3912,62,5,0.010152540637879078
2018,Dentistry,Engineering,62,3317,5,0.011025579468139705
2018,Chemical Engineering,Medicine,187,5663,1,0.0009717530578569322
2018,Environmental Science,Immunology and Microbiology,1603,915,17,0.014036913160980496
2018,Agricultural and Biological Sciences,Energy,869,521,3,0.004458538332332846
2018,"Economics, Econometrics and Finance",Physics and Astronomy,485,889,2,0.003045848135840913
2018,"Business, Management and Accounting",Psychology,503,834,35,0.05403821893311377
2018,Mathematics,"Pharmacology, Toxicology and Pharmaceutics",148,96,3,0.0251683520705257
2018,Materials Science,"Pharmacology, Toxicology and Pharmaceutics",1789,96,8,0.019304084066226024
2018,Environmental Science,Mathematics,1603,148,4,0.008212253982680376
2018,Agricultural and Biological Sciences,Physics and Astronomy,869,889,2,0.0022754601123771033
2018,Engineering,"Pharmacology, Toxicology and Pharmaceutics",3317,96,3,0.005316341891415691
2018,Physics and Astronomy,Psychology,889,834,2,0.0023227158838529435
2018,Arts and Humanities,"Biochemistry, Genetics and Molecular Biology",100,3912,8,0.012790589587821564
2018,Arts and Humanities,"Business, Management and Accounting",100,503,4,0.01783511848270831
2018,Agricultural and Biological Sciences,"Pharmacology, Toxicology and Pharmaceutics",869,96,8,0.02769774944155832
2018,Chemical Engineering,Physics and Astronomy,187,889,5,0.012263044961784531
2018,Energy,Health Professions,521,553,1,0.0018630245279068274
2018,Materials Science,Psychology,1789,834,2,0.001637351040258446
2018,"Biochemistry, Genetics and Molecular Biology","Economics, Econometrics and Finance",3912,485,4,0.002903953774767086
2018,Engineering,Nursing,3317,195,3,0.0037301922313952266
2018,Agricultural and Biological Sciences,"Business, Management and Accounting",869,503,8,0.012100299120255363
2018,Materials Science,Nursing,1789,195,3,0.005079240520698177
2018,Health Professions,"Pharmacology, Toxicology and Pharmaceutics",553,96,2,0.008680241605735146
2018,Dentistry,Immunology and Microbiology,62,915,4,0.016793978758632158
2018,Chemistry,Immunology and Microbiology,559,915,6,0.00838947529335541
2018,"Economics, Econometrics and Finance","Pharmacology, Toxicology and Pharmaceutics",485,96,1,0.004634399986000383
2018,Agricultural and Biological Sciences,Chemical Engineering,869,187,3,0.007442015380142956
2018,Environmental Science,Veterinary,1603,26,9,0.04408482024218503
2018,Computer Science,Immunology and Microbiology,1946,915,1,0.0007494074997284337
2018,Immunology and Microbiology,"Pharmacology, Toxicology and Pharmaceutics",915,96,2,0.006748136084824277
2018,Mathematics,Neuroscience,148,1300,2,0.004559607525875521
2018,Computer Science,Dentistry,1946,62,2,0.0057578816366395304
2018,Energy,Medicine,521,5663,2,0.0011643615436692529
2018,Agricultural and Biological Sciences,Decision Sciences,869,279,2,0.004061795048188832
2018,Agricultural and Biological Sciences,Veterinary,869,26,6,0.039916705343693425
2018,Computer Science,Veterinary,1946,26,2,0.00889143593658903
2018,Mathematics,Psychology,148,834,5,0.014231678403005328
2018,"Biochemistry, Genetics and Molecular Biology",Veterinary,3912,26,5,0.015677756225639123
2018,Earth and Planetary Sciences,Mathematics,605,148,2,0.0066837692917618655
2018,Earth and Planetary Sciences,Neuroscience,605,1300,1,0.00112758849626553
2018,Dentistry,Nursing,62,195,1,0.009094667994973257
2018,Immunology and Microbiology,Psychology,915,834,1,0.0011447388646243812
2018,"Business, Management and Accounting",Neuroscience,503,1300,2,0.002473285930514636
2018,Earth and Planetary Sciences,Health Professions,605,553,3,0.005186579053152017
2018,"Business, Management and Accounting",Mathematics,503,148,2,0.0073301885425707735
2018,Arts and Humanities,"Economics, Econometrics and Finance",100,485,1,0.004540766091864977
2018,Energy,Physics and Astronomy,521,889,2,0.002938733837026133
2018,Chemistry,Social Sciences,559,1020,1,0.0013243232698964265
2018,"Business, Management and Accounting",Energy,503,521,2,0.003906853636920491
2018,"Economics, Econometrics and Finance",Nursing,485,195,2,0.0065034202758368406
2018,Decision Sciences,Energy,279,521,1,0.002622883715308896
2018,Immunology and Microbiology,Veterinary,915,26,2,0.012966798874660764
2018,Materials Science,Mathematics,1789,148,1,0.001943407936711225
2018,Environmental Science,"Pharmacology, Toxicology and Pharmaceutics",1603,96,1,0.002549163094187031
2018,Chemistry,Mathematics,559,148,1,0.0034766681448690044
2018,Agricultural and Biological Sciences,Dentistry,869,62,1,0.004308184233546385
2018,Agricultural and Biological Sciences,Arts and Humanities,869,100,1,0.00339226765776378
2018,"Pharmacology, Toxicology and Pharmaceutics",Psychology,96,834,1,0.0035341205403331996
2019,Decision Sciences,"Economics, Econometrics and Finance",301,451,38,0.10313642605050986
2019,Decision Sciences,Social Sciences,301,1060,70,0.12392583664495731
2019,"Economics, Econometrics and Finance",Social Sciences,451,1060,71,0.10268739699643524
2019,"Economics, Econometrics and Finance",Medicine,451,5644,81,0.05076954197835741
2019,Computer Science,Decision Sciences,2030,301,97,0.12409105232571248
2019,Agricultural and Biological Sciences,"Biochemistry, Genetics and Molecular Biology",801,3766,307,0.17675917244061756
2019,Environmental Science,Medicine,1752,5644,109,0.03466298382376006
2019,Computer Science,Medicine,2030,5644,194,0.057313932573902514
2019,Computer Science,Engineering,2030,3225,494,0.19306967720450594
2019,"Biochemistry, Genetics and Molecular Biology",Materials Science,3766,1631,153,0.06173398221034965
2019,Agricultural and Biological Sciences,Environmental Science,801,1752,243,0.20512706431250777
2019,"Biochemistry, Genetics and Molecular Biology",Environmental Science,3766,1752,194,0.07552565861229098
2019,"Economics, Econometrics and Finance",Environmental Science,451,1752,63,0.07087371985499624
2019,"Economics, Econometrics and Finance",Neuroscience,451,1228,3,0.004031194941496645
2019,Environmental Science,Neuroscience,1752,1228,19,0.012953507074523285
2019,"Business, Management and Accounting",Medicine,504,5644,36,0.02134488061147953
2019,Computer Science,Neuroscience,2030,1228,85,0.053835868464251306
2019,"Economics, Econometrics and Finance",Health Professions,451,549,49,0.09847401306187667
2019,Engineering,Materials Science,3225,1631,934,0.4072443204510312
2019,"Economics, Econometrics and Finance",Energy,451,515,33,0.0684734254502871
2019,Chemical Engineering,Energy,172,515,63,0.21167653192011057
2019,Chemical Engineering,Engineering,172,3225,59,0.07921782763299505
2019,Energy,Engineering,515,3225,250,0.19398651219873425
2019,"Biochemistry, Genetics and Molecular Biology",Medicine,3766,5644,1712,0.3713386036192536
2019,Computer Science,Environmental Science,2030,1752,55,0.029164035594810254
2019,"Biochemistry, Genetics and Molecular Biology",Earth and Planetary Sciences,3766,645,23,0.014757331083259141
2019,Computer Science,Physics and Astronomy,2030,839,105,0.08045634505608495
2019,"Business, Management and Accounting",Decision Sciences,504,301,56,0.14377703093791752
2019,"Business, Management and Accounting",Engineering,504,3225,54,0.042355872480151026
2019,Decision Sciences,Engineering,301,3225,39,0.039583710321877644
2019,Earth and Planetary Sciences,Physics and Astronomy,645,839,40,0.05437498543053252
2019,"Business, Management and Accounting",Health Professions,504,549,34,0.06463644713386452
2019,"Business, Management and Accounting",Social Sciences,504,1060,137,0.18743572323443147
2019,Health Professions,Social Sciences,549,1060,104,0.13633087887021686
2019,Chemistry,Physics and Astronomy,519,839,31,0.046978271610344506
2019,Medicine,Neuroscience,5644,1228,525,0.19941903826610927
2019,Health Professions,Medicine,549,5644,268,0.15224923504644128
2019,"Biochemistry, Genetics and Molecular Biology",Immunology and Microbiology,3766,968,331,0.17336050255130347
2019,Immunology and Microbiology,Medicine,968,5644,680,0.2909227817150804
2019,"Biochemistry, Genetics and Molecular Biology",Computer Science,3766,2030,126,0.04557035043607642
2019,"Business, Management and Accounting",Dentistry,504,60,2,0.011501092655705838
2019,Dentistry,Medicine,60,5644,29,0.04983435827643407
2019,Computer Science,Health Professions,2030,549,36,0.03410109382196761
2019,Engineering,Environmental Science,3225,1752,276,0.11611201762584945
2019,Agricultural and Biological Sciences,Computer Science,801,2030,11,0.00862637648138332
2019,"Biochemistry, Genetics and Molecular Biology",Chemistry,3766,519,111,0.07939609487451699
2019,Chemistry,Materials Science,519,1631,208,0.22607507079844005
2019,Decision Sciences,Psychology,301,810,15,0.030378442357353652
2019,"Business, Management and Accounting",Environmental Science,504,1752,29,0.030861403922760617
2019,Earth and Planetary Sciences,Environmental Science,645,1752,437,0.4110877436587506
2019,Computer Science,Social Sciences,2030,1060,157,0.10702831811844872
2019,Engineering,Social Sciences,3225,1060,76,0.041105108619957136
2019,Chemistry,Engineering,519,3225,146,0.11285071560996691
2019,"Biochemistry, Genetics and Molecular Biology","Economics, Econometrics and Finance",3766,451,11,0.008440423857422356
2019,Medicine,Veterinary,5644,30,12,0.02916265876414879
2019,"Biochemistry, Genetics and Molecular Biology",Neuroscience,3766,1228,294,0.1367124257237609
2019,"Biochemistry, Genetics and Molecular Biology",Mathematics,3766,151,12,0.015913020217894324
2019,Environmental Science,Physics and Astronomy,1752,839,25,0.020620157460689688
2019,Environmental Science,Social Sciences,1752,1060,94,0.06897756673494203
2019,Physics and Astronomy,Social Sciences,839,1060,20,0.021207822633205937
2019,Computer Science,Materials Science,2030,1631,57,0.03132563304411604
2019,Materials Science,Physics and Astronomy,1631,839,159,0.13592181444823026
2019,Psychology,Social Sciences,810,1060,241,0.2600887698090005
2019,Energy,Materials Science,515,1631,187,0.20403797820614528
2019,Engineering,Medicine,3225,5644,293,0.06867667465456406
2019,"Business, Management and Accounting",Computer Science,504,2030,68,0.06722729321493229
2019,"Biochemistry, Genetics and Molecular Biology",Social Sciences,3766,1060,20,0.010010065175796586
2019,Medicine,Social Sciences,5644,1060,117,0.04783430039960223
2019,Energy,Environmental Science,515,1752,81,0.0852735519805289
2019,Agricultural and Biological Sciences,Medicine,801,5644,112,0.05267545092976767
2019,Health Professions,Psychology,549,810,88,0.13196355010323055
2019,Computer Science,Earth and Planetary Sciences,2030,645,34,0.029713310463946083
2019,Earth and Planetary Sciences,Engineering,645,3225,85,0.05893512498836652
2019,"Business, Management and Accounting",Nursing,504,167,6,0.020681295814775943
2019,Health Professions,Nursing,549,167,19,0.06274934446506364
2019,Environmental Science,Immunology and Microbiology,1752,968,24,0.018429201229076875
2019,Earth and Planetary Sciences,Medicine,645,5644,15,0.00786172592130932
2019,Agricultural and Biological Sciences,Nursing,801,167,20,0.05468339906572342
2019,"Biochemistry, Genetics and Molecular Biology",Nursing,3766,167,25,0.031524021516461574
2019,"Biochemistry, Genetics and Molecular Biology",Energy,3766,515,18,0.012924945864311706
2019,Arts and Humanities,Medicine,102,5644,15,0.019769590365362657
2019,Arts and Humanities,Psychology,102,810,40,0.13916095357447716
2019,Medicine,Psychology,5644,810,189,0.08839461166077432
2019,Dentistry,Health Professions,60,549,3,0.016529490122682067
2019,Engineering,Neuroscience,3225,1228,117,0.05879248524676256
2019,Health Professions,Immunology and Microbiology,549,968,11,0.0150892910070864
2019,Decision Sciences,Health Professions,301,549,28,0.06887928199233079
2019,Neuroscience,Psychology,1228,810,199,0.19953146147389184
2019,"Biochemistry, Genetics and Molecular Biology",Decision Sciences,3766,301,7,0.0065746802194400706
2019,Computer Science,Mathematics,2030,151,37,0.0668290413758363
2019,Decision Sciences,Mathematics,301,151,25,0.117264967418498
2019,Chemical Engineering,Computer Science,172,2030,5,0.008461702690261298
2019,Computer Science,Energy,2030,515,9,0.00880219277981535
2019,Environmental Science,Health Professions,1752,549,33,0.03364811322521717
2019,Computer Science,Psychology,2030,810,68,0.053029604034849465
2019,Environmental Science,Materials Science,1752,1631,63,0.03726889514066098
2019,"Biochemistry, Genetics and Molecular Biology",Engineering,3766,3225,258,0.07403118287746627
2019,"Biochemistry, Genetics and Molecular Biology",Psychology,3766,810,36,0.020611985747435134
2019,Medicine,Nursing,5644,167,109,0.11227285327118533
2019,"Biochemistry, Genetics and Molecular Biology",Veterinary,3766,30,5,0.014875419399767966
2019,Computer Science,Veterinary,2030,30,5,0.02026102246182761
2019,Chemistry,Medicine,519,5644,31,0.018112754985063147
2019,Engineering,Physics and Astronomy,3225,839,203,0.12340995615370494
2019,Chemistry,Environmental Science,519,1752,46,0.048239978085595096
2019,Immunology and Microbiology,Nursing,968,167,2,0.004974324137859831
2019,Materials Science,Medicine,1631,5644,80,0.026367533346748552
2019,Environmental Science,Psychology,1752,810,23,0.019307154666606218
2019,Materials Science,Neuroscience,1631,1228,26,0.01837160858643182
2019,"Biochemistry, Genetics and Molecular Biology",Physics and Astronomy,3766,839,41,0.023065491770290398
2019,Decision Sciences,Physics and Astronomy,301,839,13,0.025868969221013137
2019,Agricultural and Biological Sciences,Neuroscience,801,1228,20,0.020165758144106375
2019,Immunology and Microbiology,Neuroscience,968,1228,62,0.05686628109183884
2019,"Economics, Econometrics and Finance",Mathematics,451,151,24,0.09196752459239992
2019,Mathematics,Social Sciences,151,1060,18,0.04499156487230543
2019,Chemical Engineering,Chemistry,172,519,33,0.1104500806940061
2019,Agricultural and Biological Sciences,Immunology and Microbiology,801,968,15,0.017034811113542287
2019,Agricultural and Biological Sciences,Earth and Planetary Sciences,801,645,23,0.03199865475402092
2019,Mathematics,Medicine,151,5644,27,0.029247031170808416
2019,"Business, Management and Accounting","Economics, Econometrics and Finance",504,451,104,0.21813723309398841
2019,Decision Sciences,Medicine,301,5644,14,0.010741162460149995
