field_i,field_j,pair,authors_total,authors_bridge,share_bridge_authors,papers_count,cpr_mean,cpr_median,FCA_slope,weight_mean,year_first,year_last
Earth and Planetary Sciences,Physics and Astronomy,"('Earth and Planetary Sciences', 'Physics and Astronomy')",9682,250,0.0258211113406321,439,2.678767653758542,0.847,0.0014579541309897,0.0858432675847308,2018,2025
"Business, Management and Accounting",Computer Science,"('Business, Management and Accounting', 'Computer Science')",1990,34,0.017085427135678392,444,4.321058558558558,1.616,0.0014549774636764,0.0652848271975315,2018,2025
Computer Science,Energy,"('Computer Science', 'Energy')",1004,61,0.060756972111553786,109,3.655385321100917,1.351,0.0014404397832806,0.0146045965546991,2018,2025
Immunology and Microbiology,"Pharmacology, Toxicology and Pharmaceutics","('Immunology and Microbiology', 'Pharmacology, Toxicology and Pharmaceutics')",376,16,0.0425531914893617,33,1.2095151515151514,0.496,0.0014374558317428,0.0123722218579941,2018,2025
Chemistry,Engineering,"('Chemistry', 'Engineering')",9020,483,0.05354767184035477,1117,2.1428191584601617,0.948,0.0014150528268487,0.1060030846513086,2018,2025
Neuroscience,"Pharmacology, Toxicology and Pharmaceutics","('Neuroscience', 'Pharmacology, Toxicology and Pharmaceutics')",374,16,0.0427807486631016,43,1.2934883720930233,0.535,0.0012975958188269,0.0144619821590818,2018,2025
Environmental Science,Health Professions,"('Environmental Science', 'Health Professions')",4833,370,0.0765570039313056,368,3.404095108695652,1.5419999999999998,0.0012173965643581,0.0458680919248634,2018,2025
Chemistry,Medicine,"('Chemistry', 'Medicine')",3336,172,0.05155875299760192,332,2.1109307228915664,0.62,0.001204205202581,0.0212896796886851,2018,2025
Earth and Planetary Sciences,Social Sciences,"('Earth and Planetary Sciences', 'Social Sciences')",1637,46,0.028100183262064753,115,1.7449304347826087,1.071,0.0012031497187006,0.0191434913702726,2018,2025
"Biochemistry, Genetics and Molecular Biology",Dentistry,"('Biochemistry, Genetics and Molecular Biology', 'Dentistry')",773,20,0.0258732212160414,75,1.36412,0.624,0.0011669897984223,0.0195060625396655,2018,2025
"Biochemistry, Genetics and Molecular Biology",Nursing,"('Biochemistry, Genetics and Molecular Biology', 'Nursing')",3017,219,0.07258866423599603,294,2.239445578231292,0.827,0.0011169744838684,0.0436348733977414,2018,2025
Arts and Humanities,Decision Sciences,"('Arts and Humanities', 'Decision Sciences')",130,10,0.07692307692307693,24,4.038833333333334,1.203,0.0011135658039101,0.019949875286198,2018,2025
Agricultural and Biological Sciences,Veterinary,"('Agricultural and Biological Sciences', 'Veterinary')",419,1,0.002386634844868735,51,1.4763921568627452,0.465,0.0010952391254726,0.038480564786809,2018,2025
Chemistry,Neuroscience,"('Chemistry', 'Neuroscience')",1384,85,0.06141618497109826,131,2.3705190839694654,0.865,0.0010907291502362,0.019139776981319,2018,2025
